article_id,title,user,ip,vote,content,ip_datetime,ip_state,group
M.1637480615.A.D60,[新聞] 高嘉瑜喊向高端四劑戰士道歉 陳時中拒絕,cully,223.139.120.85,→,就白癡啊，沒事打什麼WHO沒認證的疫苗怪誰,223.139.120.85 11/21 19:56,Not Anonymous,2.0
M.1638230633.A.538,Re: [新聞] 高嘉瑜驚傳遭現任男友痛毆、控制行動！,daniel229,124.218.23.159,推,覺青,124.218.23.159 11/30 09:02,Possible Proxy,2.0
M.1638230633.A.538,Re: [新聞] 高嘉瑜驚傳遭現任男友痛毆、控制行動！,b3030,60.250.152.209,推,塔綠班真的會打人啊,60.250.152.209 11/30 12:17,Possibly Anonymous,2.0
M.1638230633.A.538,Re: [新聞] 高嘉瑜驚傳遭現任男友痛毆、控制行動！,pttverygood,123.252.92.2,推,文青,123.252.92.2 11/30 13:34,Not Anonymous,2.0
M.1638234362.A.F19,[新聞] 高嘉瑜認了遭握｢親密影片｣全身傷不敢報,sam70010,60.250.152.209,推,支持民進黨就是支持家暴,60.250.152.209 11/30 09:29,Possibly Anonymous,2.0
M.1638234362.A.F19,[新聞] 高嘉瑜認了遭握｢親密影片｣全身傷不敢報,sam70010,60.250.152.209,→,民進黨女權就是個笑話,60.250.152.209 11/30 09:30,Possibly Anonymous,2.0
M.1638234362.A.F19,[新聞] 高嘉瑜認了遭握｢親密影片｣全身傷不敢報,daniel229,84.17.37.57,推,婦女部：選擇性女權,84.17.37.57 11/30 11:13,Privatevpn,2.0
M.1638234362.A.F19,[新聞] 高嘉瑜認了遭握｢親密影片｣全身傷不敢報,harry155007,49.216.82.89,推,噢齁 難道也是吃麵的影片,49.216.82.89 11/30 11:56,Not Anonymous,2.0
M.1638235338.A.74F,[新聞] 【獨家】【高嘉瑜遭家暴】遭新男友痛毆、,sam70010,60.250.152.209,推,塔綠班果然沒在尊重女性,60.250.152.209 11/30 09:33,Possibly Anonymous,2.0
M.1638236412.A.9BA,[新聞] 快訊／高嘉瑜驚傳被家暴！蘇貞昌聲援　痛,sam70010,60.250.152.209,推,問過顧綠雄了嗎,60.250.152.209 11/30 09:46,Possibly Anonymous,2.0
M.1638239253.A.EFB,[新聞] 高嘉瑜男友是「恐怖文青」　作品全被挖出,sonax2k,116.233.201.127,推,現在都直接說本科了嗎 xd,116.233.201.127 11/30 11:18,Not Anonymous,2.0
M.1638244252.A.993,[新聞] 遭爆痛毆高嘉瑜！林秉樞扯「喪母之痛」,sam70010,60.250.152.209,推,媽媽死掉打加魚幹嘛,60.250.152.209 11/30 12:17,Possibly Anonymous,2.0
M.1638244652.A.5A5,[新聞] 高嘉瑜被爆打「卻噤聲」！　鄉民怒：社會,windyyw,121.50.44.44,推,新聞中的前男友就是肥宅男友啊,121.50.44.44 11/30 12:51,Not Anonymous,2.0
M.1638252477.A.78B,[爆卦] 高嘉瑜家暴事件沒說到的幕後花絮,journeytou,123.252.92.2,噓,噓第二點 委曲求全的例子有少嗎,123.252.92.2 11/30 14:27,Not Anonymous,2.0
M.1638252477.A.78B,[爆卦] 高嘉瑜家暴事件沒說到的幕後花絮,timboy512,139.180.141.9,推,在做筆錄沒空,139.180.141.9 12/01 10:59,Not Anonymous,2.0
M.1638253313.A.E20,[討論] 護台胖犬：高嘉瑜被家暴 民進黨應說清楚,sam70010,11/30,推,黨籍真的該說清楚，塔綠班不是奶昔賣淫就是打女人,11/30 18:24,no ip,2.0
M.1638255973.A.0DA,Re: [爆卦] 高嘉瑜家暴事件沒說到的幕後花絮,timboy512,106.180.225.78,噓,現實就是賤啊 男人不壞怎麼愛,106.180.225.78 11/30 15:33,Not Anonymous,2.0
M.1638258503.A.D39,[新聞] 快訊／「臉部被打」高嘉瑜被家暴提告了！,timboy512,106.180.225.78,推,公投四個同意 支持受暴女性,106.180.225.78 11/30 15:53,Not Anonymous,2.0
M.1638262424.A.BE0,Re: [爆卦] 高嘉瑜家暴事件沒說到的幕後花絮,shimmery,84.17.37.57,推,8010報到,84.17.37.57 11/30 18:58,Privatevpn,2.0
M.1638264596.A.7D2,[新聞] 高嘉瑜遭男友施暴 國民黨中央黨員：被打,mike0327,110.26.41.82,推,kmt真厲害這樣都能失分,110.26.41.82 11/30 17:34,Not Anonymous,2.0
M.1638264596.A.7D2,[新聞] 高嘉瑜遭男友施暴 國民黨中央黨員：被打,timboy512,139.180.141.9,推,說得好啊 事實總是傷人的,139.180.141.9 11/30 17:43,Not Anonymous,2.0
M.1638267276.A.53A,[新聞] 高嘉瑜男友太渣！啃老為錢囚禁老母逼下,sam70010,60.250.152.209,推,支持民進黨就是支持打女人,60.250.152.209 11/30 18:16,Possibly Anonymous,2.0
M.1638267276.A.53A,[新聞] 高嘉瑜男友太渣！啃老為錢囚禁老母逼下,b3030,60.250.152.209,推,塔綠班不覺得意外,60.250.152.209 11/30 18:25,Possibly Anonymous,2.0
M.1638268518.A.A13,Re: [新聞] 高嘉瑜男友太渣！啃老為錢囚禁老母逼下,sam70010,60.250.152.209,推,救上來先給一頓粗飽的,60.250.152.209 11/30 19:36,Possibly Anonymous,2.0
M.1638268634.A.4CB,[新聞] 被爆痛揍高嘉瑜 林秉樞過往評論曝光：嗆,sam70010,60.250.152.209,推,8樓是要把覺青說成是中共同路人？,60.250.152.209 11/30 19:31,Possibly Anonymous,2.0
M.1638283548.A.69A,[新聞] 被指大鬧高嘉瑜現任男友亡母靈堂 前男友,mike0327,11/30,→,照蘋果新聞這男的連老媽都打還有人要護航？,11/30 23:57,no ip,2.0
M.1638291868.A.42B,Re: [爆卦] 馬文鈺喪禮鬧場 高嘉瑜本人報警抓人,daniel229,123.252.92.2,推,蟑螂不得好死,123.252.92.2 12/01 07:56,Not Anonymous,2.0
M.1638309363.A.9CC,[新聞] 高嘉瑜被施暴案新北檢深夜出擊 搜索拘提,kuo0528,123.252.92.6,推,不趕快辦會被其他單位搶去辦,123.252.92.6 12/01 08:01,Not Anonymous,2.0
M.1638314104.A.853,[新聞] 打到高嘉瑜全身傷　「男友老家整晚亮燈,pttverygood,123.252.92.6,推,戰鬥力強，抗中保台，指日可待,123.252.92.6 12/01 07:49,Not Anonymous,2.0
M.1638314104.A.853,[新聞] 打到高嘉瑜全身傷　「男友老家整晚亮燈,sonax2k,101.88.82.65,噓,怎麼老是有人覺得那位地包天一臉看起來就,101.88.82.65 12/01 07:53,Not Anonymous,2.0
M.1638314104.A.853,[新聞] 打到高嘉瑜全身傷　「男友老家整晚亮燈,sonax2k,101.88.82.65,→,王八蛋的人帥啊？審美觀OK嗎,101.88.82.65 12/01 07:54,Not Anonymous,2.0
M.1638314104.A.853,[新聞] 打到高嘉瑜全身傷　「男友老家整晚亮燈,sam70010,60.250.152.209,推,那個什麼維尼的要不要出來再開釋一下,60.250.152.209 12/01 10:29,Possibly Anonymous,2.0
M.1638314104.A.853,[新聞] 打到高嘉瑜全身傷　「男友老家整晚亮燈,sam70010,60.250.152.209,推,支持民進黨就是支持打女人,60.250.152.209 12/01 11:48,Possibly Anonymous,2.0
M.1638315364.A.C1D,Re: [新聞] 打到高嘉瑜全身傷　「男友老家整晚亮燈,sam70010,60.250.152.209,推,民進黨婦女部就是笑話,60.250.152.209 12/01 10:26,Possibly Anonymous,2.0
M.1638326766.A.615,[爆卦] 高嘉瑜：他有我的不雅照 包括跟前女友,timboy512,139.180.141.9,噓,就是賤啊 女人就繼續挑這種的繼續哭,139.180.141.9 12/01 10:51,Not Anonymous,2.0
M.1638326766.A.615,[爆卦] 高嘉瑜：他有我的不雅照 包括跟前女友,timboy512,139.180.141.9,噓,難怪之前要查deepfake 被外流了就能說,139.180.141.9 12/01 10:54,Not Anonymous,2.0
M.1638326766.A.615,[爆卦] 高嘉瑜：他有我的不雅照 包括跟前女友,timboy512,139.180.141.9,→,是假的 計劃通餒,139.180.141.9 12/01 10:54,Not Anonymous,2.0
M.1638329725.A.75F,[新聞] 多圖／高嘉瑜遭男友林秉樞暴打「驚悚傷勢,timboy512,139.180.141.9,推,甲魚扁成烏魚了,139.180.141.9 12/01 11:49,Not Anonymous,2.0
M.1638329930.A.552,[新聞] 林秉樞道歉說他第一次打女人 高嘉瑜:當時,sam70010,60.250.152.209,推,第一次吃魚,60.250.152.209 12/01 12:19,Possibly Anonymous,2.0
M.1638330910.A.B38,Re: [新聞] 快訊／高嘉瑜崩潰痛哭：若我不勇敢面對　,nixon,45.40.54.13,推,通姦資料庫是你？,45.40.54.13 12/01 11:56,Surfshark VPN,2.0
M.1638331420.A.521,Re: [新聞] 林秉樞道歉說他第一次打女人 高嘉瑜:當時,sam70010,60.250.152.209,推,應該弄個精神病園區,60.250.152.209 12/01 12:17,Possibly Anonymous,2.0
M.1638331707.A.58F,[新聞] 還原家暴遭勒脖當晚 高嘉瑜︰被打到不成,sam70010,60.250.152.209,推,廢死立委要不要再去探討一下他的成長過,60.250.152.209 12/01 12:23,Possibly Anonymous,2.0
M.1638331707.A.58F,[新聞] 還原家暴遭勒脖當晚 高嘉瑜︰被打到不成,sam70010,60.250.152.209,→,程為什麼會讓他變成打自己同事的垃圾,60.250.152.209 12/01 12:23,Possibly Anonymous,2.0
M.1638331707.A.58F,[新聞] 還原家暴遭勒脖當晚 高嘉瑜︰被打到不成,sam70010,60.250.152.209,推,犯暈表態什麼？心疼+<><然後有對打女人,60.250.152.209 12/01 12:25,Possibly Anonymous,2.0
M.1638331707.A.58F,[新聞] 還原家暴遭勒脖當晚 高嘉瑜︰被打到不成,sam70010,60.250.152.209,→,覺青譴責嗎？,60.250.152.209 12/01 12:25,Possibly Anonymous,2.0
M.1638331707.A.58F,[新聞] 還原家暴遭勒脖當晚 高嘉瑜︰被打到不成,sam70010,60.250.152.209,推,以後交往先看對方有沒有在吃精神病的藥,60.250.152.209 12/01 12:33,Possibly Anonymous,2.0
M.1638336428.A.4D1,[新聞] 高嘉瑜遭家暴》黃國昌翻出加害人「舊案」,Pictor,211.75.186.175,推,推，認真,211.75.186.175 12/01 17:25,Not Anonymous,2.0
M.1638338488.A.569,[新聞] 網酸高嘉瑜為何不求助 王婉諭直指：你們,nixon,45.40.54.13,噓,屎代有什麼好意外的肏,45.40.54.13 12/01 14:59,Surfshark VPN,2.0
M.1638338488.A.569,[新聞] 網酸高嘉瑜為何不求助 王婉諭直指：你們,sam70010,60.250.152.209,推,給精神病開罪的廢死立委才是原因吧,60.250.152.209 12/01 15:22,Possibly Anonymous,2.0
M.1638346122.A.153,[Live] 高嘉瑜上TVBS新聞大白話,mike0327,12/01,→,獅子丸平常就這樣了所以還好啦,12/01 19:29,no ip,2.0
M.1638353261.A.82C,[新聞] 中央委員黃覲偉稱高嘉瑜被打活該 國民黨,harry155007,49.216.235.92,推,國民黨這樣發揮我就安心了,49.216.235.92 12/01 18:24,Not Anonymous,2.0
M.1638353261.A.82C,[新聞] 中央委員黃覲偉稱高嘉瑜被打活該 國民黨,david54001,123.252.92.6,推,可憐阿政壇都是這種,123.252.92.6 12/01 18:31,Not Anonymous,2.0
M.1638356559.A.719,[討論] 高嘉瑜通告接不完了~~~~,mike0327,12/01,→,你怎麼會覺得他有缺通告,12/01 20:05,no ip,2.0
M.1638357037.A.FD5,Re: [新聞] 新女友？高嘉瑜男友飯店被捕 1長髮女陪伴,Pictor,211.75.186.175,推,推，真八卦,211.75.186.175 12/02 07:43,Not Anonymous,2.0
M.1638357659.A.510,Re: [Live] 高嘉瑜上TVBS新聞大白話,mike0327,12/01,→,今天有去面對面啦,12/01 20:03,no ip,2.0
M.1638357659.A.510,Re: [Live] 高嘉瑜上TVBS新聞大白話,mike0327,12/01,→,53世仇本來就不可能，54應該對顏家更有興趣,12/01 20:04,no ip,2.0
M.1638360495.A.772,[新聞] 被施暴還手？高嘉瑜駁：林男力氣大只有,olivet,61.66.150.58,推,會修法了嗎,61.66.150.58 12/01 21:24,Possible Proxy,2.0
M.1638367881.A.1E7,[新聞] 曾捐兩萬給高嘉瑜 林秉樞政治獻金名單曝,sam70010,120.36.169.195,推,他很會串,120.36.169.195 12/01 22:15,Not Anonymous,2.0
M.1638374728.A.93B,[新聞] 高嘉瑜：剛交往時就被逼下跪 自責「覺得,kuo0528,123.252.92.6,推,還是不會回去找小馬的,123.252.92.6 12/02 08:01,Not Anonymous,2.0
M.1638375010.A.FE6,[新聞] 洗白林秉樞狂黑高嘉瑜 發文者本尊遭起底,mike0327,219.91.6.199,→,連旺旺都不敢說是誰的助理，到底多大咖,219.91.6.199 12/02 00:11,Not Anonymous,2.0
M.1638375010.A.FE6,[新聞] 洗白林秉樞狂黑高嘉瑜 發文者本尊遭起底,mike0327,219.91.6.199,→,？,219.91.6.199 12/02 00:11,Not Anonymous,2.0
M.1638375010.A.FE6,[新聞] 洗白林秉樞狂黑高嘉瑜 發文者本尊遭起底,mike0327,219.91.6.199,→,巧芯應該查的到吧,219.91.6.199 12/02 00:17,Not Anonymous,2.0
M.1638375010.A.FE6,[新聞] 洗白林秉樞狂黑高嘉瑜 發文者本尊遭起底,mike0327,219.91.6.199,→,別在顏聖冠了，顏聖冠都落選三年了,219.91.6.199 12/02 00:18,Not Anonymous,2.0
M.1638375010.A.FE6,[新聞] 洗白林秉樞狂黑高嘉瑜 發文者本尊遭起底,mike0327,219.91.6.199,→,顏早就落選了，別再顏了,219.91.6.199 12/02 00:36,Not Anonymous,2.0
M.1638376465.A.0AA,Re: [新聞] 洗白林秉樞狂黑高嘉瑜 發文者本尊遭起底,mike0327,219.91.6.199,→,用正國會跟推文那篇文參考好像可以推敲,219.91.6.199 12/02 00:49,Not Anonymous,2.0
M.1638376465.A.0AA,Re: [新聞] 洗白林秉樞狂黑高嘉瑜 發文者本尊遭起底,mike0327,219.91.6.199,→,老闆是誰,219.91.6.199 12/02 00:49,Not Anonymous,2.0
M.1638400512.A.D63,[新聞] 林秉樞被收押再爆「高嘉瑜應該很開心啦,evdict,123.252.92.2,噓,腦子有病，真的關久一點，不要出來了,123.252.92.2 12/02 10:41,Not Anonymous,2.0
M.1638404922.A.2B5,[新聞] 高嘉瑜 小馬你們贏了  林秉樞5度道歉:放,KingJeff17,223.167.65.139,推,這人真的沒救了,223.167.65.139 12/02 09:40,Not Anonymous,2.0
M.1638416465.A.9AF,[新聞] 高嘉瑜遭家暴登國際版面　南韓媒體報導、,aiglas0209,223.138.176.237,推,台灣汁光,223.138.176.237 12/02 11:42,Not Anonymous,2.0
M.1638416465.A.9AF,[新聞] 高嘉瑜遭家暴登國際版面　南韓媒體報導、,lonysancho,113.52.100.103,→,照片甜美外貌？記者是不是韓文不好…,113.52.100.103 12/02 11:54,Not Anonymous,2.0
M.1638416465.A.9AF,[新聞] 高嘉瑜遭家暴登國際版面　南韓媒體報導、,mike0327,27.242.128.189,→,昨天百度熱搜也有進榜一下子,27.242.128.189 12/02 12:19,Not Anonymous,2.0
M.1638416465.A.9AF,[新聞] 高嘉瑜遭家暴登國際版面　南韓媒體報導、,kuosambition,121.13.219.36,→,南拳北腿林秉樞,121.13.219.36 12/02 14:05,Not Anonymous,2.0
